"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164352470,2021274,1633080437.775,GERES,GE_013,coh,-1,1.5,321.96826,8.5649798,0.15387153,0.022980398,4.7534785,0.13020036,18.93583,1.601241,1,3,-1,2021-10-01 09:36:24
164352471,2021274,1633080471.2,GERES,GE_025,coh,-1,1.5,322.93133,2.3281959,0.27672148,0.011243717,6.8592691,0.23345193,79.100577,1.3488873,1,1,-1,2021-10-01 09:36:24
164352811,2021274,1633081420.25,GERES,GE_093,coh,-1,3,313.00935,5.2947763,0.14077339,0.013004421,4.6382513,0.1273852,14.782824,1.6181272,2,2,-1,2021-10-01 09:56:23
164352812,2021274,1633081440.375,GERES,GE_105,coh,-1,3,317.59351,4.6686946,0.24377711,0.019858462,8.8743935,0.27445811,6.3394009,1.1716464,2,3,-1,2021-10-01 09:56:23
164353054,2021274,1633081906.075,GERES,GE_015,coh,-1,1.5,32.541754,2.3027407,0.2989323,0.012013402,14.256798,0.43778777,69.289493,0.84542908,1,1,-1,2021-10-01 10:06:12
164353055,2021274,1633082345.775,GERES,GE_059,coh,-1,2,323.44753,2.6038106,0.25992382,0.011811239,7.8716574,0.26540351,40.320975,1.254154,1.3333333,1,-1,2021-10-01 10:06:12
164353389,2021274,1633083266.15,GERES,GE_103,coh,-1,3,279.74364,3.32748,0.24107742,0.01399872,7.3819861,0.24179101,12.757418,1.2983498,2,2,-1,2021-10-01 10:26:24
164321148,2021273,1632961596.825,GERES,GE_046,coh,-1,2,270.48147,19.040831,0.14280495,0.047239598,4.3565059,0.075022422,2.5206327,1.6612503,1.3333333,4,-1,2021-09-30 00:36:28
164328047,2021273,1632989196.55,GERES,GE_050,coh,-1,2,72.779621,2.9593175,0.21483002,0.011094702,17.074257,0.81791246,45.697315,0.72133315,1.3333333,1,-1,2021-09-30 08:16:33
164328048,2021273,1632989202.675,GERES,GE_020,coh,-1,1.5,68.498566,3.255758,0.29793349,0.016927404,5.98634,0.24036193,34.899458,1.4425559,1,1,-1,2021-09-30 08:16:33
164328049,2021273,1632989207.825,GERES,GE_009,coh,-1,1.5,80.122164,3.9027021,0.24482925,0.016673321,4.4512315,0.2564179,35.971224,1.6464483,1,1,-1,2021-09-30 08:16:33
164328050,2021273,1632989383,GERES,GE_095,coh,-1,3,41.329231,2.6961148,0.24371005,0.011466982,5.3071837,0.18932554,19.012587,1.5254197,2,1,-1,2021-09-30 08:16:33
164329034,2021273,1632991431.725,GERES,GE_010,coh,-1,1.5,51.248372,17.719795,0.23388597,0.072045698,9.0890694,0.23035033,1.9265634,1.1551983,1,2,-1,2021-09-30 08:58:18
164336360,2021273,1633014462.275,GERES,GE_003,coh,-1,1.5,28.64133,9.9627077,0.17774982,0.030868581,3.4443996,0.071358964,10.494605,1.72,1,3,-1,2021-09-30 15:16:35
164336935,2021273,1633016633.125,GERES,GE_092,coh,-1,3,291.9117,3.5525325,0.23152522,0.014353049,4.3086104,0.088434279,12.135316,1.6688575,2,2,-1,2021-09-30 15:56:59
