"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1633080184.125,164352469,2021274,-1,-1,GE_077,N,-,1.6932699,172.74681,7.7810698,14.79613,2.0078489,-1,-1,0.41005421,0.33333333,-999,-,-,4.1584353,"3",,-1,2021-10-01 09:36:24
GERES,1633080437.775,164352470,2021274,-1,-1,GE_013,Pn,-,1.601241,321.96826,8.5649798,17.109745,2.5553053,-1,-1,0.4468364,0.66666667,-999,-,-,4.7534785,"3",,-1,2021-10-01 09:36:24
GERES,1633080471.2,164352471,2021274,10478393,-1,GE_025,Lg,-,1.3488873,322.93133,2.3281959,30.770045,1.2502451,-1,-1,2.0035162,0.66666667,-999,-,-,6.8592691,"1",,-1,2021-10-01 09:36:24
GERES,1633157412.45,164372764,2021275,-1,-1,GE_004,N,-,1.72,45,17.598896,3.962785,1.2124245,-1,-1,60.842167,0.66666667,-999,-,-,3.8279803,"1",,-1,2021-10-02 07:06:25
GERES,1633157417.825,164372765,2021275,-1,-1,GE_031,P,-,1.6975436,8.5307656,16.756846,2.6985339,0.78640925,-1,-1,34.625877,0.5,-999,-,-,4.132689,"1",,-1,2021-10-02 07:06:25
GERES,1632992262.225,164329420,2021273,-1,-1,GE_003,P,-,1.2616665,36.253838,13.890498,4.9640285,1.2005089,-1,-1,1.8642614,0.66666667,-999,-,-,7.7861876,"1",,-1,2021-09-30 09:14:13
GERES,1632992393.225,164329421,2021273,-1,-1,GE_003,P,-,1.4898333,66.194056,13.573951,4.9586455,1.172008,-1,-1,0.93031756,0.66666667,-999,-,-,5.5888638,"1",,-1,2021-09-30 09:14:13
GERES,1632994948,164330216,2021273,10477289,-1,GE_109,Pn,-,1.4788369,59.534455,5.9282673,15.790369,1.6330658,-1,-1,0.68537729,0.22222222,-999,-,-,5.6788921,"3",,-1,2021-09-30 09:56:17
GERES,1632994965.725,164330217,2021273,-1,-1,GE_113,N,-,1.2059304,68.962489,4.4116614,26.019271,2.0029374,-1,-1,2.9658271,0.22222222,-999,-,-,8.4430866,"4",,-1,2021-09-30 09:56:17
GERES,1632994973.175,164330218,2021273,10477289,-1,GE_016,Lg,-,0.97493146,69.083196,4.2297227,27.283891,2.0137101,-1,-1,2.2045349,0.66666667,-999,-,-,11.811091,"1",,-1,2021-09-30 09:56:17
GERES,1632995027.85,164330219,2021273,10477290,-1,GE_091,Pg,-,1.095763,273.25132,3.6800562,15.287717,0.98174747,-1,-1,1.4451437,0.33333333,-999,-,-,9.9090147,"1",,-1,2021-09-30 09:56:17
GERES,1632995043.525,164330220,2021273,10477290,-1,GE_103,Lg,-,0.73639856,273.90697,3.5100722,25.413586,1.5566517,-1,-1,3.046749,0.33333333,-999,-,-,16.704508,"2",,-1,2021-09-30 09:56:17
